X,Y,Z
60,34,18
60,35,118
60,35,117
60,35,116
60,35,115
60,35,106
60,35,105
60,35,104
60,35,103
60,35,94
60,35,93
60,35,92
60,35,91
60,35,82
60,35,81
60,35,80
60,35,79
60,35,78
60,35,69
60,35,68
60,35,67
60,35,66
60,35,57
60,35,56
60,35,55
60,35,54
60,35,45
60,35,44
60,35,43
60,35,42
60,35,33
60,35,32
60,35,31
60,35,30
60,35,21
60,35,20
60,35,19
60,35,18
60,36,118
60,36,117
60,36,116
60,36,115
60,36,106
60,36,105
60,36,104
60,36,103
60,36,94
60,36,93
60,36,92
60,36,91
60,36,82
60,36,81
60,36,80
60,36,79
60,36,70
60,36,69
60,36,68
60,36,67
60,36,66
60,36,57
60,36,56
60,36,55
60,36,54
60,36,45
60,36,44
60,36,43
60,36,42
60,36,33
60,36,32
60,36,31
60,36,30
60,36,21
60,36,20
60,36,19
60,36,18
60,37,118
60,37,117
60,37,116
60,37,115
60,37,106
60,37,105
60,37,104
60,37,103
60,37,94
60,37,93
60,37,92
60,37,91
60,37,82
60,37,80
60,37,79
60,37,69
60,37,68
60,37,67
60,37,57
60,37,56
60,37,55
60,37,54
60,37,45
60,37,44
60,37,43
60,37,42
60,37,33
60,37,32
60,37,31
60,37,30
60,37,21
60,37,20
60,37,19
60,37,18
60,38,118
60,38,117
60,38,116
60,38,115
60,38,106
60,38,105
60,38,104
60,38,103
60,38,94
60,38,93
60,38,92
60,38,91
60,38,82
60,38,81
60,38,80
60,38,79
60,38,69
60,38,68
60,38,67
60,38,57
60,38,56
60,38,55
60,38,45
60,38,44
60,38,43
60,38,33
60,38,32
60,38,31
60,38,30
60,38,21
60,38,20
60,38,19
60,38,18
60,39,118
60,39,117
60,39,116
60,39,106
60,39,105
60,39,104
60,39,94
60,39,93
60,39,92
60,39,91
60,39,81
60,39,80
60,39,79
60,39,69
60,39,68
60,39,67
60,39,57
60,39,56
60,39,55
60,39,45
60,39,44
60,39,43
60,39,33
60,39,32
60,39,31
60,39,21
60,39,20
60,39,19
60,39,18
60,40,118
60,40,117
60,40,116
60,40,106
60,40,105
60,40,104
60,40,94
60,40,93
60,40,92
60,40,81
60,40,80
60,40,79
60,40,69
60,40,68
60,40,67
60,40,57
60,40,56
60,40,55
60,40,45
60,40,44
60,40,43
60,40,33
60,40,32
60,40,31
60,40,21
60,40,20
60,40,19
60,41,118
60,41,117
60,41,116
60,41,106
60,41,105
60,41,104
60,41,93
60,41,92
60,41,81
60,41,80
60,41,69
60,41,68
60,41,57
60,41,56
60,41,55
60,41,45
60,41,44
60,41,43
60,41,33
60,41,32
60,41,31
60,41,20
60,41,19
60,42,118
60,42,117
60,42,105
60,42,104
60,42,93
60,42,92
60,42,81
60,42,80
60,42,69
60,42,68
60,42,57
60,42,56
60,42,45
60,42,44
60,42,32
60,42,31
60,42,20
60,42,19
60,43,117
60,43,105
60,43,93
60,43,81
60,43,80
60,43,69
60,43,68
60,43,56
60,43,44
60,43,32
60,43,20
59,18,116
59,18,115
59,18,103
59,18,91
59,18,79
59,18,67
59,18,55
59,18,54
59,18,43
59,18,42
59,18,31
59,18,30
59,18,18
59,19,116
59,19,115
59,19,104
59,19,103
59,19,92
59,19,91
59,19,80
59,19,79
59,19,78
59,19,68
59,19,67
59,19,66
59,19,55
59,19,54
59,19,43
59,19,42
59,19,31
59,19,30
59,19,19
59,19,18
59,20,117
59,20,116
59,20,115
59,20,104
59,20,103
59,20,102
59,20,92
59,20,91
59,20,90
59,20,80
59,20,79
59,20,78
59,20,68
59,20,67
59,20,66
59,20,56
59,20,55
59,20,54
59,20,44
59,20,43
59,20,42
59,20,31
59,20,30
59,20,19
59,20,18
59,20,17
59,21,117
59,21,116
59,21,115
59,21,114
59,21,105
59,21,104
59,21,103
59,21,102
59,21,93
59,21,92
59,21,91
59,21,90
59,21,80
59,21,79
59,21,78
59,21,68
59,21,67
59,21,66
59,21,56
59,21,55
59,21,54
59,21,44
59,21,43
59,21,42
59,21,32
59,21,31
59,21,30
59,21,29
59,21,20
59,21,19
59,21,18
59,21,17
59,22,117
59,22,116
59,22,115
59,22,114
59,22,105
59,22,104
59,22,103
59,22,102
59,22,93
59,22,92
59,22,91
59,22,90
59,22,81
59,22,80
59,22,79
59,22,78
59,22,68
59,22,67
59,22,66
59,22,56
59,22,55
59,22,54
59,22,44
59,22,43
59,22,42
59,22,41
59,22,32
59,22,31
59,22,30
59,22,29
59,22,20
59,22,19
59,22,18
59,22,17
59,23,117
59,23,116
59,23,115
59,23,114
59,23,105
59,23,104
59,23,103
59,23,102
59,23,93
59,23,92
59,23,91
59,23,90
59,23,81
59,23,80
59,23,79
59,23,78
59,23,69
59,23,68
59,23,67
59,23,66
59,23,56
59,23,55
59,23,54
59,23,53
59,23,44
59,23,43
59,23,42
59,23,41
59,23,32
59,23,31
59,23,30
59,23,29
59,23,20
59,23,19
59,23,18
